Valor: a, Tipo: IDENTIFICADOR
Valor: =, Tipo: ASIGNACION
Valor: 5, Tipo: NUMERO
Valor: *, Tipo: MULTIPLICACION
Valor: (, Tipo: PARENTESIS_IZQ
Valor: b, Tipo: IDENTIFICADOR
Valor: +, Tipo: SUMA
Valor: 3, Tipo: NUMERO
Valor: ), Tipo: PARENTESIS_DER
Valor: /, Tipo: DIVISION
Valor: 4, Tipo: NUMERO
Valor: -, Tipo: RESTA
Valor: c, Tipo: IDENTIFICADOR
Valor: ;, Tipo: PUNTO_COMA
Valor: d, Tipo: IDENTIFICADOR
Valor: +, Tipo: SUMA
Valor: 3, Tipo: NUMERO
Valor: *, Tipo: MULTIPLICACION
Valor: (, Tipo: PARENTESIS_IZQ
Valor: e, Tipo: IDENTIFICADOR
Valor: -, Tipo: RESTA
Valor: 2, Tipo: NUMERO
Valor: ), Tipo: PARENTESIS_DER
Valor: *, Tipo: MULTIPLICACION
Valor: (, Tipo: PARENTESIS_IZQ
Valor: f, Tipo: IDENTIFICADOR
Valor: /, Tipo: DIVISION
Valor: g, Tipo: IDENTIFICADOR
Valor: +, Tipo: SUMA
Valor: 8, Tipo: NUMERO
Valor: ), Tipo: PARENTESIS_DER
Valor: ;, Tipo: PUNTO_COMA
Valor: h, Tipo: IDENTIFICADOR
Valor: =, Tipo: ASIGNACION
Valor: i, Tipo: IDENTIFICADOR
Valor: +, Tipo: SUMA
Valor: 4, Tipo: NUMERO
Valor: *, Tipo: MULTIPLICACION
Valor: (, Tipo: PARENTESIS_IZQ
Valor: j, Tipo: IDENTIFICADOR
Valor: -, Tipo: RESTA
Valor: 6, Tipo: NUMERO
Valor: ), Tipo: PARENTESIS_DER
Valor: /, Tipo: DIVISION
Valor: (, Tipo: PARENTESIS_IZQ
Valor: k, Tipo: IDENTIFICADOR
Valor: +, Tipo: SUMA
Valor: l, Tipo: IDENTIFICADOR
Valor: *, Tipo: MULTIPLICACION
Valor: 2, Tipo: NUMERO
Valor: ), Tipo: PARENTESIS_DER
Valor: -, Tipo: RESTA
Valor: 1, Tipo: NUMERO
Valor: ;, Tipo: PUNTO_COMA
